"Wave","Edge_ID","Point_edge","Retained_under_EBICglasso","Percentile_2_5","Percentile_97_5"
2016,"VCF0809--VCF0894",0.173766642629694,TRUE,0.125576944892771,0.223395049601688
2016,"VCF0809--VCF9223",0,FALSE,-0.0515225325876569,0.0114696257822654
2016,"VCF0838--VCF0839",0.0636726525169274,TRUE,0.00736685876848702,0.109951164235026
2016,"VCF0838--VCF0879a",0.0198466846918451,TRUE,0,0.0748564082549925
2016,"VCF0838--VCF0888",-0.101292565988874,TRUE,-0.155005566099115,-0.0518422904797132
2016,"VCF0838--VCF0890",0.108612599323994,TRUE,0.0506420978607616,0.169742192602712
2016,"VCF0838--VCF0894",0.0364902033127705,TRUE,0,0.0914990823037789
2016,"VCF0838--VCF9223",0.143965510367613,TRUE,0.0916734317057718,0.184809671322682
2016,"VCF0839--VCF0879a",0,FALSE,-0.0252389471406725,0.0440398635168733
2016,"VCF0839--VCF0888",0.0370470506219009,TRUE,0,0.0900674528766994
2016,"VCF0839--VCF0890",0.242347657779176,TRUE,0.183549989206217,0.29430429527165
2016,"VCF0839--VCF0894",0.329872988221807,TRUE,0.281225986542633,0.374360806146242
