"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Successful_repetitions_saved","Success_rate","Retention_frequency_saved","Primary_state_match_proportion_saved","Same_sign_when_retained","Median_edge_weight_saved","Lower_edge_weight_saved","Upper_edge_weight_saved","Successful_repetitions_recomputed","Retention_frequency_recomputed","Primary_state_match_proportion_recomputed","Median_edge_weight_recomputed","Lower_edge_weight_recomputed","Upper_edge_weight_recomputed","Difference_successful_repetitions","Difference_retention_frequency","Difference_primary_state_match","Difference_median_edge","Difference_lower_edge","Difference_upper_edge","Maximum_row_difference"
"A3",2012,"VCF0809--VCF0890","VCF0809","VCF0890",0.0920263712391898,1000,1,0.658,0.658,1,0.0917886394576932,0,0.180167328973229,1000,0.658,0.658,0.0917886394576932,0,0.180167328973229,0,0,0,-2.77555756156289e-17,0,4.44089209850063e-16,4.44089209850063e-16
"A3",2012,"VCF0888--VCF0890","VCF0888","VCF0890",0.305355221016655,1000,1,1,1,1,0.30810140917337,0.211694189889454,0.402184480909044,1000,1,1,0.30810140917337,0.211694189889454,0.402184480909044,0,0,0,3.88578058618805e-16,-8.32667268468867e-17,-4.44089209850063e-16,4.44089209850063e-16
"A3",2012,"VCF0839--VCF0894","VCF0839","VCF0894",0.304754460215999,1000,1,1,1,1,0.304395711473375,0.220291638043395,0.382936809767329,1000,1,1,0.304395711473375,0.220291638043395,0.382936809767329,0,0,0,3.88578058618805e-16,-4.44089209850063e-16,-1.11022302462516e-16,4.44089209850063e-16
"A3",2012,"VCF0879a--VCF9223","VCF0879a","VCF9223",0.469833727138572,1000,1,1,1,1,0.471299505273877,0.401476232060569,0.536513990970922,1000,1,1,0.471299505273877,0.401476232060569,0.536513990970922,0,0,0,4.44089209850063e-16,-5.55111512312578e-17,4.44089209850063e-16,4.44089209850063e-16
"A3",2012,"VCF0894--VCF9223","VCF0894","VCF9223",-0.00920298803560992,1000,1,0.057,0.056,0.982456140350877,0,-0.103775727140509,0,1000,0.057,0.056,0,-0.103775727140509,0,0,0,0,0,-4.44089209850063e-16,0,4.44089209850063e-16
"A3",2016,"VCF0806--VCF0809","VCF0806","VCF0809",0.357600675012053,1000,1,1,1,1,0.3571544078878,0.282384052938131,0.427256957221999,1000,1,1,0.3571544078878,0.282384052938131,0.427256957221999,0,0,0,-2.77555756156289e-16,-1.66533453693773e-16,-4.44089209850063e-16,4.44089209850063e-16
"A3",2016,"VCF0809--VCF0839","VCF0809","VCF0839",0.216271398419299,1000,1,1,1,1,0.21692270285565,0.12895744685642,0.293946640450923,1000,1,1,0.21692270285565,0.12895744685642,0.293946640450923,0,0,0,8.32667268468867e-17,-4.16333634234434e-16,4.44089209850063e-16,4.44089209850063e-16
"A3",2016,"VCF0809--VCF0890","VCF0809","VCF0890",0.052471021635499,1000,1,0.32,0.319,0.996875,0,0,0.140222894939952,1000,0.32,0.319,0,0,0.140222894939952,0,0,0,0,0,4.44089209850063e-16,4.44089209850063e-16
"A3",2016,"VCF0839--VCF0894","VCF0839","VCF0894",0.329872988221807,1000,1,1,1,1,0.330856837910342,0.250283752732689,0.407181706419619,1000,1,1,0.330856837910342,0.250283752732689,0.407181706419619,0,0,0,4.44089209850063e-16,-3.88578058618805e-16,1.66533453693773e-16,4.44089209850063e-16
"A3",2016,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.227269099451679,1000,1,0.999,0.999,1,0.219747743276453,0.144636556649853,0.294733381216249,1000,0.999,0.999,0.219747743276453,0.144636556649853,0.294733381216249,0,0,0,-4.44089209850063e-16,-2.77555756156289e-16,-2.77555756156289e-16,4.44089209850063e-16
"A3",2020,"VCF0839--VCF0890","VCF0839","VCF0890",0.234815190156645,1000,1,1,1,1,0.232404800982088,0.134645447648624,0.321943884303779,1000,1,1,0.232404800982088,0.134645447648624,0.321943884303779,0,0,0,2.77555756156289e-16,1.94289029309402e-16,4.44089209850063e-16,4.44089209850063e-16
"A3",2024,"VCF0809--VCF0838","VCF0809","VCF0838",0.081819208318309,1000,1,0.674,0.674,1,0.0862660799117179,0,0.168532315760265,1000,0.674,0.674,0.0862660799117179,0,0.168532315760265,0,0,0,-1.38777878078145e-17,0,4.44089209850063e-16,4.44089209850063e-16
"A3",2024,"VCF0806--VCF0839","VCF0806","VCF0839",0.173090954828948,1000,1,0.998,0.998,1,0.173460105983592,0.0935818864637791,0.254273943994438,1000,0.998,0.998,0.173460105983592,0.0935818864637791,0.254273943994438,0,0,0,-1.11022302462516e-16,-2.77555756156289e-17,4.44089209850063e-16,4.44089209850063e-16
"A3",2024,"VCF0806--VCF0888","VCF0806","VCF0888",-0.115991969116665,1000,1,0.783,0.783,1,-0.114733671426551,-0.200422165731901,0,1000,0.783,0.783,-0.114733671426551,-0.200422165731901,0,0,0,0,4.44089209850063e-16,-2.77555756156289e-17,0,4.44089209850063e-16
"A3",2024,"VCF0809--VCF0894","VCF0809","VCF0894",0.158881201459168,1000,1,0.992,0.992,1,0.161021886085993,0.0804166997012451,0.245738013747291,1000,0.992,0.992,0.161021886085993,0.0804166997012451,0.245738013747291,0,0,0,-4.44089209850063e-16,4.16333634234434e-17,-1.38777878078145e-16,4.44089209850063e-16
"A3",2024,"VCF0838--VCF9223","VCF0838","VCF9223",0.255748972788864,1000,1,1,1,1,0.256719660106171,0.175937291275823,0.336205776634478,1000,1,1,0.256719660106171,0.175937291275823,0.336205776634478,0,0,0,4.44089209850063e-16,0,-5.55111512312578e-17,4.44089209850063e-16
"A2",2024,"VCF0838--VCF0888","VCF0838","VCF0888",-0.118991017033197,1000,1,0.992,0.992,1,-0.113185822735764,-0.207995060356546,-0.0226933427006216,1000,0.992,0.992,-0.113185822735764,-0.207995060356546,-0.0226933427006216,0,0,0,4.30211422042248e-16,5.55111512312578e-17,-2.42861286636753e-17,4.30211422042248e-16
"A3",2020,"VCF0809--VCF0879a","VCF0809","VCF0879a",0.0313461409353886,1000,1,0.256,0.256,1,0,0,0.108959457456977,1000,0.256,0.256,0,0,0.108959457456977,0,0,0,0,0,-4.30211422042248e-16,4.30211422042248e-16
"A2",2004,"VCF0890--VCF0894","VCF0890","VCF0894",0.163619760585957,1000,1,1,1,1,0.163619760585957,0.163619760585957,0.163619760585957,1000,1,1,0.163619760585957,0.163619760585957,0.163619760585957,0,0,0,4.16333634234434e-16,4.16333634234434e-16,4.16333634234434e-16,4.16333634234434e-16
"A2",2016,"VCF0806--VCF0888","VCF0806","VCF0888",-0.0783115642198743,1000,1,0.937,0.936,0.998932764140875,-0.0684886790184099,-0.14573077087164,0,1000,0.937,0.936,-0.0684886790184099,-0.14573077087164,0,0,0,0,-4.16333634234434e-17,4.16333634234434e-16,0,4.16333634234434e-16
"A2",2016,"VCF0809--VCF0890","VCF0809","VCF0890",0.052471021635499,1000,1,0.879,0.879,1,0.0505905145219681,0,0.134798787247716,1000,0.879,0.879,0.0505905145219681,0,0.134798787247716,0,0,0,-1.38777878078145e-17,0,4.16333634234434e-16,4.16333634234434e-16
"A2",2016,"VCF0839--VCF0890","VCF0839","VCF0890",0.242347657779176,1000,1,1,1,1,0.243542836794338,0.164467918144729,0.317792574883479,1000,1,1,0.243542836794338,0.164467918144729,0.317792574883479,0,0,0,-4.16333634234434e-16,1.66533453693773e-16,-2.22044604925031e-16,4.16333634234434e-16
"A2",2016,"VCF0888--VCF9223","VCF0888","VCF9223",-0.113633115156834,1000,1,0.998,0.998,1,-0.107103012780294,-0.194070262850227,-0.0222246471513683,1000,0.998,0.998,-0.107103012780294,-0.194070262850227,-0.0222246471513683,0,0,0,0,4.16333634234434e-16,1.04083408558608e-17,4.16333634234434e-16
"A2",2020,"VCF0806--VCF0839","VCF0806","VCF0839",0.218609064876532,1000,1,1,1,1,0.214071839725474,0.126498303809871,0.290538714073191,1000,1,1,0.214071839725474,0.126498303809871,0.290538714073191,0,0,0,-1.11022302462516e-16,-4.16333634234434e-16,3.33066907387547e-16,4.16333634234434e-16
"A2",2024,"VCF0809--VCF0838","VCF0809","VCF0838",0.081819208318309,1000,1,0.972,0.972,1,0.0821222767326479,0,0.164100006697068,1000,0.972,0.972,0.0821222767326479,0,0.164100006697068,0,0,0,-4.16333634234434e-17,0,4.16333634234434e-16,4.16333634234434e-16
"A2",2024,"VCF0809--VCF0839","VCF0809","VCF0839",0.282103083965334,1000,1,1,1,1,0.280507135436187,0.191687852399622,0.356294709369967,1000,1,1,0.280507135436187,0.191687852399622,0.356294709369967,0,0,0,-2.22044604925031e-16,4.16333634234434e-16,3.88578058618805e-16,4.16333634234434e-16
"A2",2024,"VCF0806--VCF9223","VCF0806","VCF9223",0.103479021160507,1000,1,0.996,0.996,1,0.101246455888052,0.0287363151416237,0.174970503379185,1000,0.996,0.996,0.101246455888052,0.0287363151416237,0.174970503379185,0,0,0,-2.77555756156289e-17,3.81639164714898e-17,4.16333634234434e-16,4.16333634234434e-16
"A3",2012,"VCF0806--VCF0839","VCF0806","VCF0839",0.234328527509928,1000,1,1,1,1,0.231400684618812,0.150925675342359,0.305097146842002,1000,1,1,0.231400684618812,0.150925675342359,0.305097146842002,0,0,0,3.60822483003176e-16,4.16333634234434e-16,-2.77555756156289e-16,4.16333634234434e-16
"A3",2012,"VCF0838--VCF0888","VCF0838","VCF0888",-0.111103873701375,1000,1,0.558,0.558,1,-0.112747975262097,-0.196460306342953,0,1000,0.558,0.558,-0.112747975262097,-0.196460306342953,0,0,0,0,-3.19189119579733e-16,4.16333634234434e-16,0,4.16333634234434e-16
"A3",2016,"VCF0838--VCF0839","VCF0838","VCF0839",0.0636726525169274,1000,1,0.387,0.387,1,0,0,0.139825632086763,1000,0.387,0.387,0,0,0.139825632086763,0,0,0,0,0,-4.16333634234434e-16,4.16333634234434e-16
"A3",2020,"VCF0806--VCF0839","VCF0806","VCF0839",0.218609064876532,1000,1,1,1,1,0.21818692506003,0.130947154000631,0.297049724910823,1000,1,1,0.21818692506003,0.130947154000631,0.297049724910823,0,0,0,1.38777878078145e-16,-4.16333634234434e-16,1.66533453693773e-16,4.16333634234434e-16
"A3",2020,"VCF0888--VCF0894","VCF0888","VCF0894",-0.068233730564378,1000,1,0.458,0.458,1,0,-0.156338831719035,0,1000,0.458,0.458,0,-0.156338831719035,0,0,0,0,0,4.16333634234434e-16,0,4.16333634234434e-16
"A3",2020,"VCF0838--VCF9223","VCF0838","VCF9223",0.142161290526218,1000,1,0.931,0.931,1,0.139285801758072,0,0.217811630812238,1000,0.931,0.931,0.139285801758072,0,0.217811630812238,0,0,0,4.16333634234434e-16,0,-4.16333634234434e-16,4.16333634234434e-16
"A3",2024,"VCF0839--VCF0890","VCF0839","VCF0890",0.266945440954792,1000,1,1,1,1,0.268425258161371,0.174468415266277,0.349103072864658,1000,1,1,0.268425258161371,0.174468415266277,0.349103072864658,0,0,0,-2.77555756156289e-16,-4.16333634234434e-16,0,4.16333634234434e-16
"A3",2024,"VCF0838--VCF0894","VCF0838","VCF0894",0.0597191234757199,1000,1,0.397,0.397,1,0,0,0.148869874177843,1000,0.397,0.397,0,0,0.148869874177843,0,0,0,0,0,-4.16333634234434e-16,4.16333634234434e-16
"A2",2024,"VCF0879a--VCF0890","VCF0879a","VCF0890",0.0186928727184489,1000,1,0.595,0.545,0.915966386554622,0.00996763746866004,-0.045814687120131,0.112520622892497,1000,0.595,0.545,0.00996763746866004,-0.045814687120131,0.112520622892497,0,0,0,0,6.93889390390723e-18,-4.02455846426619e-16,4.02455846426619e-16
"A2",2024,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.117685330392291,1000,1,0.997,0.997,1,0.105352477075334,0.0266808022608514,0.182838941145758,1000,0.997,0.997,0.105352477075334,0.0266808022608514,0.182838941145758,0,0,0,4.02455846426619e-16,2.08166817117217e-17,1.66533453693773e-16,4.02455846426619e-16
"A2",2004,"VCF0806--VCF0809","VCF0806","VCF0809",0.37199407703599,1000,1,1,1,1,0.37199407703599,0.37199407703599,0.37199407703599,1000,1,1,0.37199407703599,0.37199407703599,0.37199407703599,0,0,0,3.88578058618805e-16,3.88578058618805e-16,3.88578058618805e-16,3.88578058618805e-16
