"Wave","Node","Category","N","Sample_N"
2020,"VCF0806",5,572,5094
2020,"VCF0806",6,633,5094
2020,"VCF0806",7,1173,5094
2020,"VCF0809",1,838,5094
2020,"VCF0809",2,683,5094
2020,"VCF0809",3,653,5094
2020,"VCF0809",4,979,5094
2020,"VCF0809",5,745,5094
2020,"VCF0809",6,574,5094
2020,"VCF0809",7,622,5094
2020,"VCF0838",1,508,5094
2020,"VCF0838",2,1189,5094
2020,"VCF0838",3,732,5094
2020,"VCF0838",4,2665,5094
2020,"VCF0839",1,368,5094
2020,"VCF0839",2,403,5094
2020,"VCF0839",3,643,5094
2020,"VCF0839",4,1061,5094
2020,"VCF0839",5,971,5094
2020,"VCF0839",6,713,5094
2020,"VCF0839",7,935,5094
2020,"VCF0879a",1,1378,5094
2020,"VCF0879a",3,2029,5094
2020,"VCF0879a",5,1687,5094
2020,"VCF0888",1,677,5094
2020,"VCF0888",2,1777,5094
2020,"VCF0888",3,2640,5094
2020,"VCF0890",1,378,5094
2020,"VCF0890",2,1302,5094
2020,"VCF0890",3,3414,5094
2020,"VCF0894",1,1484,5094
2020,"VCF0894",2,2089,5094
2020,"VCF0894",3,1521,5094
2020,"VCF9223",1,384,5094
2020,"VCF9223",2,771,5094
2020,"VCF9223",3,1978,5094
2020,"VCF9223",4,1961,5094
2024,"VCF0806",1,414,2823
2024,"VCF0806",2,247,2823
2024,"VCF0806",3,316,2823
2024,"VCF0806",4,475,2823
2024,"VCF0806",5,378,2823
2024,"VCF0806",6,329,2823
2024,"VCF0806",7,664,2823
2024,"VCF0809",1,425,2823
2024,"VCF0809",2,357,2823
2024,"VCF0809",3,379,2823
2024,"VCF0809",4,551,2823
2024,"VCF0809",5,447,2823
2024,"VCF0809",6,283,2823
2024,"VCF0809",7,381,2823
2024,"VCF0838",1,143,2823
2024,"VCF0838",2,628,2823
2024,"VCF0838",3,585,2823
2024,"VCF0838",4,1467,2823
2024,"VCF0839",1,221,2823
2024,"VCF0839",2,208,2823
2024,"VCF0839",3,374,2823
2024,"VCF0839",4,580,2823
2024,"VCF0839",5,537,2823
2024,"VCF0839",6,328,2823
2024,"VCF0839",7,575,2823
2024,"VCF0879a",1,1278,2823
2024,"VCF0879a",3,1040,2823
2024,"VCF0879a",5,505,2823
2024,"VCF0888",1,166,2823
2024,"VCF0888",2,863,2823
2024,"VCF0888",3,1794,2823
2024,"VCF0890",1,289,2823
2024,"VCF0890",2,671,2823
2024,"VCF0890",3,1863,2823
2024,"VCF0894",1,868,2823
2024,"VCF0894",2,1087,2823
2024,"VCF0894",3,868,2823
2024,"VCF9223",1,395,2823
2024,"VCF9223",2,468,2823
2024,"VCF9223",3,897,2823
2024,"VCF9223",4,1063,2823
