"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Sensitivity_edge_weight","Primary_retained","Sensitivity_retained","Primary_sign","Sensitivity_sign","State_matches_primary","Absolute_edge_difference"
"A1",2012,"VCF0838--VCF0890","VCF0838","VCF0890",0.173712290542379,0.178859167690659,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00514687714827983
"A1",2012,"VCF0839--VCF0890","VCF0839","VCF0890",0.263346205380432,0.26184428442618,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0015019209542525
"A1",2012,"VCF0879a--VCF0890","VCF0879a","VCF0890",-0.0328432083530345,-0.0415617993706494,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00871859101761494
"A1",2012,"VCF0888--VCF0890","VCF0888","VCF0890",0.305355221016655,0.309294413252251,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00393919223559597
"A1",2012,"VCF0806--VCF0894","VCF0806","VCF0894",0.14949343454668,0.149736818910045,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000243384363364074
"A1",2012,"VCF0809--VCF0894","VCF0809","VCF0894",0.151618352474529,0.152681169140998,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00106281666646946
"A1",2012,"VCF0838--VCF0894","VCF0838","VCF0894",-0.0427267061442297,-0.0490210557419674,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00629434959773771
"A1",2012,"VCF0839--VCF0894","VCF0839","VCF0894",0.304754460215999,0.305098779964116,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00034431974811644
"A1",2012,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.14055343388669,0.147233835470371,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00668040158368036
"A1",2012,"VCF0888--VCF0894","VCF0888","VCF0894",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2012,"VCF0890--VCF0894","VCF0890","VCF0894",0.156670022803228,0.16144789713498,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00477787433175239
"A1",2012,"VCF0806--VCF9223","VCF0806","VCF9223",0.0150369312245018,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0150369312245018
"A1",2012,"VCF0809--VCF9223","VCF0809","VCF9223",-0.0228829782209999,0,TRUE,FALSE,"NEGATIVE","ZERO",FALSE,0.0228829782209999
"A1",2012,"VCF0838--VCF9223","VCF0838","VCF9223",0.11975354377938,0.120274382767097,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000520838987717584
"A1",2012,"VCF0839--VCF9223","VCF0839","VCF9223",0.0271344846048082,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0271344846048082
"A1",2012,"VCF0879a--VCF9223","VCF0879a","VCF9223",0.469833727138572,0.472955313952914,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00312158681434244
"A1",2012,"VCF0888--VCF9223","VCF0888","VCF9223",-0.0713228146329072,-0.0743074611011938,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00298464646828661
"A1",2012,"VCF0890--VCF9223","VCF0890","VCF9223",0.0384970135041746,0.0458999746226135,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00740296111843893
"A1",2012,"VCF0894--VCF9223","VCF0894","VCF9223",-0.00920298803560992,0,TRUE,FALSE,"NEGATIVE","ZERO",FALSE,0.00920298803560992
"A1",2016,"VCF0806--VCF0809","VCF0806","VCF0809",0.357600675012053,0.360723635783534,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00312296077148061
"A1",2016,"VCF0806--VCF0838","VCF0806","VCF0838",0.181921384698232,0.184589854384962,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00266846968673054
"A1",2016,"VCF0809--VCF0838","VCF0809","VCF0838",-0.0734135665583111,-0.0808391969999598,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00742563044164873
"A1",2016,"VCF0806--VCF0839","VCF0806","VCF0839",0.190850385470592,0.190683002187181,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000167383283411399
"A1",2016,"VCF0809--VCF0839","VCF0809","VCF0839",0.216271398419299,0.217107140544825,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000835742125525341
"A1",2016,"VCF0838--VCF0839","VCF0838","VCF0839",0.0636726525169274,0.0659650603069697,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00229240779004229
"A1",2016,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.0658181576864972,0.0654480367692468,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000370120917250472
"A1",2016,"VCF0809--VCF0879a","VCF0809","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2016,"VCF0838--VCF0879a","VCF0838","VCF0879a",0.0198466846918451,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0198466846918451
"A1",2016,"VCF0839--VCF0879a","VCF0839","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2016,"VCF0806--VCF0888","VCF0806","VCF0888",-0.0783115642198743,-0.0817322513975252,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00342068717765089
"A1",2016,"VCF0809--VCF0888","VCF0809","VCF0888",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2016,"VCF0838--VCF0888","VCF0838","VCF0888",-0.101292565988874,-0.103606213752223,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.0023136477633493
