"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Successful_repetitions","Success_rate","Retention_frequency","Primary_state_match_proportion","Same_sign_when_retained","Median_edge_weight","Lower_edge_weight","Upper_edge_weight"
"A2",2012,"VCF0806--VCF0894","VCF0806","VCF0894",0.14949343454668,1000,1,0.999,0.999,1,0.148535560262032,0.0657175894745599,0.226308665958973
"A2",2012,"VCF0809--VCF0894","VCF0809","VCF0894",0.151618352474529,1000,1,0.998,0.998,1,0.148946218509764,0.0618767092076398,0.225339980933937
"A2",2012,"VCF0838--VCF0894","VCF0838","VCF0894",-0.0427267061442297,1000,1,0.311,0.284,0.913183279742765,0,-0.0982109424045211,0.00117466844728946
"A2",2012,"VCF0839--VCF0894","VCF0839","VCF0894",0.304754460215999,1000,1,1,1,1,0.299716529367202,0.218409860561856,0.374636947615772
"A2",2012,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.14055343388669,1000,1,0.997,0.997,1,0.117480010601983,0.0428042610967175,0.196988351435629
"A2",2012,"VCF0888--VCF0894","VCF0888","VCF0894",0,1000,1,0.259,0.741,,0,-0.0544966493954387,0.0540875051717367
"A2",2012,"VCF0890--VCF0894","VCF0890","VCF0894",0.156670022803228,1000,1,0.999,0.999,1,0.150189895307981,0.0580202380764935,0.249760749005852
"A2",2012,"VCF0806--VCF9223","VCF0806","VCF9223",0.0150369312245018,1000,1,0.59,0.584,0.989830508474576,0.0100762156901284,0,0.0780785695992302
"A2",2012,"VCF0809--VCF9223","VCF0809","VCF9223",-0.0228829782209999,1000,1,0.286,0.258,0.902097902097902,0,-0.0700365244309101,0.00310803316450354
"A2",2012,"VCF0838--VCF9223","VCF0838","VCF9223",0.11975354377938,1000,1,1,1,1,0.106456388121308,0.0346984184454001,0.176628001015939
"A2",2012,"VCF0839--VCF9223","VCF0839","VCF9223",0.0271344846048082,1000,1,0.583,0.582,0.998284734133791,0.01090215270754,0,0.0801691415661364
"A2",2012,"VCF0879a--VCF9223","VCF0879a","VCF9223",0.469833727138572,1000,1,1,1,1,0.452124938401128,0.382500150982948,0.520095583635381
"A2",2012,"VCF0888--VCF9223","VCF0888","VCF9223",-0.0713228146329072,1000,1,0.904,0.904,1,-0.0565117693684444,-0.141681766452702,0
"A2",2012,"VCF0890--VCF9223","VCF0890","VCF9223",0.0384970135041746,1000,1,0.484,0.481,0.993801652892562,0,0,0.0996453464627886
"A2",2012,"VCF0894--VCF9223","VCF0894","VCF9223",-0.00920298803560992,1000,1,0.223,0.115,0.515695067264574,0,-0.0645098924175341,0.0301195920179189
"A2",2016,"VCF0806--VCF0809","VCF0806","VCF0809",0.357600675012053,1000,1,1,1,1,0.345445322926125,0.271493146170998,0.414268974215791
"A2",2016,"VCF0806--VCF0838","VCF0806","VCF0838",0.181921384698232,1000,1,1,1,1,0.17196310765728,0.0984002571169641,0.241955675755686
"A2",2016,"VCF0809--VCF0838","VCF0809","VCF0838",-0.0734135665583111,1000,1,0.643,0.643,1,-0.0425622922139948,-0.12741475459993,0
"A2",2016,"VCF0806--VCF0839","VCF0806","VCF0839",0.190850385470592,1000,1,1,1,1,0.19185614621413,0.116436056502912,0.264686030328972
"A2",2016,"VCF0809--VCF0839","VCF0809","VCF0839",0.216271398419299,1000,1,1,1,1,0.213897244163568,0.127338869993037,0.289595339488633
"A2",2016,"VCF0838--VCF0839","VCF0838","VCF0839",0.0636726525169274,1000,1,0.897,0.897,1,0.0534678671866754,0,0.126746323857775
"A2",2016,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.0658181576864972,1000,1,0.936,0.936,1,0.0578214642853538,0,0.117876700119824
"A2",2016,"VCF0809--VCF0879a","VCF0809","VCF0879a",0,1000,1,0.379,0.621,,0,-0.0195365914670926,0.0552628733928891
"A2",2016,"VCF0838--VCF0879a","VCF0838","VCF0879a",0.0198466846918451,1000,1,0.664,0.648,0.975903614457831,0.0184755881223952,0,0.104674857318073
"A2",2016,"VCF0839--VCF0879a","VCF0839","VCF0879a",0,1000,1,0.437,0.563,,0,0,0.0630504940940619
"A2",2016,"VCF0806--VCF0888","VCF0806","VCF0888",-0.0783115642198743,1000,1,0.937,0.936,0.998932764140875,-0.0684886790184099,-0.14573077087164,0
"A2",2016,"VCF0809--VCF0888","VCF0809","VCF0888",0,1000,1,0.309,0.691,,0,-0.0468879602697493,0.0556864756118614
"A2",2016,"VCF0838--VCF0888","VCF0838","VCF0888",-0.101292565988874,1000,1,0.983,0.983,1,-0.0922748596161141,-0.170547785267725,-0.0150442893911374
"A2",2016,"VCF0839--VCF0888","VCF0839","VCF0888",0.0370470506219009,1000,1,0.466,0.452,0.969957081545064,0,0,0.101673626713635
"A2",2016,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.090754153248673,1000,1,0.974,0.974,1,-0.0894513710748325,-0.173435209647185,0
"A2",2016,"VCF0806--VCF0890","VCF0806","VCF0890",0.0590306809790036,1000,1,0.925,0.924,0.998918918918919,0.0571675385762584,0,0.131379293743747
"A2",2016,"VCF0809--VCF0890","VCF0809","VCF0890",0.052471021635499,1000,1,0.879,0.879,1,0.0505905145219681,0,0.134798787247716
"A2",2016,"VCF0838--VCF0890","VCF0838","VCF0890",0.108612599323994,1000,1,0.992,0.991,0.998991935483871,0.10112094621383,0.0199426005866016,0.177375787548334
"A2",2016,"VCF0839--VCF0890","VCF0839","VCF0890",0.242347657779176,1000,1,1,1,1,0.243542836794338,0.164467918144729,0.317792574883479
"A2",2016,"VCF0879a--VCF0890","VCF0879a","VCF0890",0.0141694491107246,1000,1,0.582,0.553,0.950171821305842,0.00876407534869233,-0.0222590719667572,0.105775692372648
"A2",2016,"VCF0888--VCF0890","VCF0888","VCF0890",0.215890208797959,1000,1,1,1,1,0.193904563194384,0.0946621503851484,0.294169160489331
"A2",2016,"VCF0806--VCF0894","VCF0806","VCF0894",0.114332152702858,1000,1,0.999,0.999,1,0.121579889367771,0.043554381279464,0.195352785914886
"A2",2016,"VCF0809--VCF0894","VCF0809","VCF0894",0.173766642629694,1000,1,1,1,1,0.170600196957185,0.0958530648574751,0.243187638954268
