"Group_key","Wave","Education_group","N","Node_1","Node_2","Edge_weight","Retained_under_EBICglasso"
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0839","VCF0890",0.289847152637583,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0879a","VCF0890",0.0254683512468829,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0888","VCF0890",0.183556228149216,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0806","VCF0894",0.101978756506618,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0809","VCF0894",0.194452343784377,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0838","VCF0894",0.104503631020534,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0839","VCF0894",0.351748180703386,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0879a","VCF0894",0.155735399193591,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0888","VCF0894",-0.131999399291125,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0890","VCF0894",0.0910132968013111,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0806","VCF9223",0.0538898611905335,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0809","VCF9223",0,FALSE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0838","VCF9223",0.164383268782931,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0839","VCF9223",0,FALSE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0879a","VCF9223",0.441880858697991,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0888","VCF9223",-0.104845279017087,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0890","VCF9223",0.11709026417403,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0894","VCF9223",0.0474130530212614,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0806","VCF0809",0.345654348157917,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0806","VCF0838",0.198552078133446,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0809","VCF0838",0.0125654551393711,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0806","VCF0839",0.201761989180293,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0809","VCF0839",0.263170234267459,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0838","VCF0839",0.0181613041990504,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0806","VCF0879a",0.0420109091802223,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0809","VCF0879a",0.0489107281431116,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0838","VCF0879a",0,FALSE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0839","VCF0879a",0,FALSE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0806","VCF0888",-0.152956620064488,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0809","VCF0888",0,FALSE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0838","VCF0888",-0.214496528321902,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0839","VCF0888",0,FALSE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0879a","VCF0888",-0.0791202854745479,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0806","VCF0890",0.0429205479320034,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0809","VCF0890",0.104572423833291,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0838","VCF0890",0.168801906965314,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0839","VCF0890",0.230626639618401,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0879a","VCF0890",0.021709427085307,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0888","VCF0890",0.160016981794788,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0806","VCF0894",0.0963464447758621,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0809","VCF0894",0.155482389572761,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0838","VCF0894",0.0180985756075531,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0839","VCF0894",0.251189642967361,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0879a","VCF0894",0.194972435013118,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0888","VCF0894",-0.0487194954142884,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0890","VCF0894",0.147632924109957,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0806","VCF9223",0.0100677482328789,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0809","VCF9223",0,FALSE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0838","VCF9223",0.131680407191609,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0839","VCF9223",0,FALSE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0879a","VCF9223",0.450879350905524,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0888","VCF9223",-0.121764467138877,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0890","VCF9223",0.0912963342182523,TRUE
"2020__no_college_degree",2020,"No college degree",2624,"VCF0894","VCF9223",0.00319433093355599,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0806","VCF0809",0.332967313519531,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0806","VCF0838",0.194403105963207,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0809","VCF0838",0.05282704032314,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0806","VCF0839",0.230260051180307,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0809","VCF0839",0.271644723710987,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0838","VCF0839",0.0538031650430044,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0806","VCF0879a",0.068634738755521,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0809","VCF0879a",0.00889375544138231,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0838","VCF0879a",0.00744475377974137,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0839","VCF0879a",0,FALSE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0806","VCF0888",-0.134551537093589,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0809","VCF0888",-0.0673313720502104,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0838","VCF0888",-0.116716140134773,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0839","VCF0888",0.0451700609483132,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0879a","VCF0888",-0.230192201998022,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0806","VCF0890",0.065054199320793,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0809","VCF0890",0.0939743061540052,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0838","VCF0890",0.0945877983541494,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0839","VCF0890",0.239714481301498,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0879a","VCF0890",0.0226743472300467,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0888","VCF0890",0.13021606709857,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0806","VCF0894",0.0598326847043004,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0809","VCF0894",0.162903958882011,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0838","VCF0894",0.110368355926429,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0839","VCF0894",0.238960597894267,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0879a","VCF0894",0.254954123603248,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0888","VCF0894",-0.0780924328201785,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0890","VCF0894",0.150420483312784,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0806","VCF9223",0.0522172082501678,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0809","VCF9223",0,FALSE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0838","VCF9223",0.115092465199481,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0839","VCF9223",0.0276535593116474,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0879a","VCF9223",0.386559327932715,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0888","VCF9223",-0.0852777673821497,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0890","VCF9223",0.110409008936551,TRUE
"2020__college_or_advanced",2020,"College or advanced degree",2691,"VCF0894","VCF9223",0,FALSE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0806","VCF0809",0.266853691557512,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0806","VCF0838",0.0792279072757887,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0809","VCF0838",0.0844998018663684,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0806","VCF0839",0.14705691449588,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0809","VCF0839",0.310125561501035,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0838","VCF0839",0.127697700370257,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0806","VCF0879a",0.00982264829355085,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0809","VCF0879a",0.00210920878242845,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0838","VCF0879a",0.0137468688878261,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0839","VCF0879a",0.019708854043676,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0806","VCF0888",-0.110339774017324,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0809","VCF0888",-0.042648848781185,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0838","VCF0888",-0.103748643358965,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0839","VCF0888",-0.0200503580482669,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0879a","VCF0888",-0.0648930651039733,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0806","VCF0890",0.114732332043166,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0809","VCF0890",0.0862248873844311,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0838","VCF0890",0.0548944735828217,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0839","VCF0890",0.256109657274246,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0879a","VCF0890",0.017772367230021,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0888","VCF0890",0.189358078232176,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0806","VCF0894",0.14517828900853,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0809","VCF0894",0.139332132195131,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0838","VCF0894",0.049577163479253,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0839","VCF0894",0.170185210833259,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0879a","VCF0894",0.0943225598015575,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0888","VCF0894",0,FALSE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0890","VCF0894",0.243982470436602,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0806","VCF9223",0.111020846932341,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0809","VCF9223",0,FALSE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0838","VCF9223",0.247669182195128,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0839","VCF9223",0.0196413430677263,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0879a","VCF9223",0.237187649079539,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0888","VCF9223",-0.146169828195259,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0890","VCF9223",0.0866973480391514,TRUE
"2024__no_college_degree",2024,"No college degree",1729,"VCF0894","VCF9223",0.0268376661756475,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0806","VCF0809",0.314446649430684,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0806","VCF0838",0.138640544597921,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0809","VCF0838",0.0966035378202624,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0806","VCF0839",0.202893958088343,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0809","VCF0839",0.232238740656613,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0838","VCF0839",0.0558890543487986,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0806","VCF0879a",0.000723920221838306,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0809","VCF0879a",0,FALSE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0838","VCF0879a",0,FALSE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0839","VCF0879a",0,FALSE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0806","VCF0888",-0.118283694563445,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0809","VCF0888",-0.0309064568573577,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0838","VCF0888",-0.11666131469049,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0839","VCF0888",-0.0674754684833617,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0879a","VCF0888",-0.152563346981554,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0806","VCF0890",0.0583623648756103,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0809","VCF0890",0.0572318394494758,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0838","VCF0890",0.152502443541857,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0839","VCF0890",0.281278681267527,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0879a","VCF0890",0.0146461576113498,TRUE
"2024__college_or_advanced",2024,"College or advanced degree",1781,"VCF0888","VCF0890",0.202919844866077,TRUE
