year,pair_index,node1,node2,level1,level2,cell_n,pairwise_n,cell_proportion
2004,4,VCF0806,VCF0888,1,1,8,1104,0.0072463768115942
2004,4,VCF0806,VCF0888,2,1,3,1104,0.00271739130434783
2004,4,VCF0806,VCF0888,3,1,4,1104,0.0036231884057971
2004,4,VCF0806,VCF0888,4,1,2,1104,0.00181159420289855
2004,4,VCF0806,VCF0888,5,1,5,1104,0.00452898550724638
2004,4,VCF0806,VCF0888,6,1,2,1104,0.00181159420289855
2004,4,VCF0806,VCF0888,7,1,15,1104,0.0135869565217391
2004,4,VCF0806,VCF0888,1,2,19,1104,0.0172101449275362
2004,4,VCF0806,VCF0888,2,2,48,1104,0.0434782608695652
2004,4,VCF0806,VCF0888,3,2,50,1104,0.0452898550724638
2004,4,VCF0806,VCF0888,4,2,63,1104,0.0570652173913044
2004,4,VCF0806,VCF0888,5,2,44,1104,0.0398550724637681
2004,4,VCF0806,VCF0888,6,2,43,1104,0.0389492753623188
2004,4,VCF0806,VCF0888,7,2,61,1104,0.0552536231884058
2004,4,VCF0806,VCF0888,1,3,70,1104,0.0634057971014493
2004,4,VCF0806,VCF0888,2,3,73,1104,0.0661231884057971
2004,4,VCF0806,VCF0888,3,3,109,1104,0.098731884057971
2004,4,VCF0806,VCF0888,4,3,151,1104,0.136775362318841
2004,4,VCF0806,VCF0888,5,3,100,1104,0.0905797101449275
2004,4,VCF0806,VCF0888,6,3,94,1104,0.0851449275362319
2004,4,VCF0806,VCF0888,7,3,140,1104,0.126811594202899
2004,5,VCF0806,VCF0890,1,1,16,1104,0.0144927536231884
2004,5,VCF0806,VCF0890,2,1,10,1104,0.00905797101449275
2004,5,VCF0806,VCF0890,3,1,11,1104,0.00996376811594203
2004,5,VCF0806,VCF0890,4,1,5,1104,0.00452898550724638
2004,5,VCF0806,VCF0890,5,1,1,1104,0.000905797101449275
2004,5,VCF0806,VCF0890,6,1,3,1104,0.00271739130434783
2004,5,VCF0806,VCF0890,7,1,6,1104,0.00543478260869565
2004,5,VCF0806,VCF0890,1,2,19,1104,0.0172101449275362
2004,5,VCF0806,VCF0890,2,2,36,1104,0.0326086956521739
2004,5,VCF0806,VCF0890,3,2,48,1104,0.0434782608695652
2004,5,VCF0806,VCF0890,4,2,49,1104,0.0443840579710145
2004,5,VCF0806,VCF0890,5,2,28,1104,0.0253623188405797
2004,5,VCF0806,VCF0890,6,2,13,1104,0.0117753623188406
2004,5,VCF0806,VCF0890,7,2,22,1104,0.0199275362318841
2004,5,VCF0806,VCF0890,1,3,61,1104,0.0552536231884058
2004,5,VCF0806,VCF0890,2,3,77,1104,0.0697463768115942
2004,5,VCF0806,VCF0890,3,3,106,1104,0.0960144927536232
2004,5,VCF0806,VCF0890,4,3,161,1104,0.145833333333333
2004,5,VCF0806,VCF0890,5,3,121,1104,0.109601449275362
2004,5,VCF0806,VCF0890,6,3,121,1104,0.109601449275362
2004,5,VCF0806,VCF0890,7,3,190,1104,0.172101449275362
2004,6,VCF0806,VCF0894,1,1,48,1097,0.0437556973564266
2004,6,VCF0806,VCF0894,2,1,53,1097,0.0483135824977211
2004,6,VCF0806,VCF0894,3,1,65,1097,0.0592525068368277
2004,6,VCF0806,VCF0894,4,1,55,1097,0.0501367365542388
2004,6,VCF0806,VCF0894,5,1,31,1097,0.0282588878760255
2004,6,VCF0806,VCF0894,6,1,40,1097,0.0364630811303555
2004,6,VCF0806,VCF0894,7,1,59,1097,0.0537830446672744
2004,6,VCF0806,VCF0894,1,2,33,1097,0.0300820419325433
2004,6,VCF0806,VCF0894,2,2,55,1097,0.0501367365542388
2004,6,VCF0806,VCF0894,3,2,75,1097,0.0683682771194166
2004,6,VCF0806,VCF0894,4,2,124,1097,0.113035551504102
2004,6,VCF0806,VCF0894,5,2,77,1097,0.0701914311759344
2004,6,VCF0806,VCF0894,6,2,56,1097,0.0510483135824977
2004,6,VCF0806,VCF0894,7,2,73,1097,0.0665451230628988
2004,6,VCF0806,VCF0894,1,3,15,1097,0.0136736554238833
