year,node1,node2,pairwise_n
2024,VCF0839,VCF0879a,4271
2024,VCF0888,VCF0879a,4685
2024,VCF0890,VCF0879a,4685
2024,VCF0894,VCF0879a,4669
2024,VCF0879a,VCF0879a,4898
2024,VCF9223,VCF0879a,4697
2024,VCF0806,VCF9223,4306
2024,VCF0809,VCF9223,4278
2024,VCF0838,VCF9223,4504
2024,VCF0839,VCF9223,4135
2024,VCF0888,VCF9223,4704
2024,VCF0890,VCF9223,4705
2024,VCF0894,VCF9223,4686
2024,VCF0879a,VCF9223,4697
2024,VCF9223,VCF9223,4722
